id,title,description,link,image_link,availability,price,brand,gtin,condition,google_product_category,product_type,identifier_exists,shipping,shipping_weight,shipping_label,min_handling_time,max_handling_time,min_transit_time,max_transit_time,age_group
hawkes-pb,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes (Paperback)","What does a single recurring image reveal about the hidden architecture of a novelist's entire body of work? Across John Hawkes's seventeen novels the word ""grape"" appears 129 times-concentrated in the mature fiction where innocence desire and architectural enclosure converge. This monograph traces the grape-its cultivation its crushing its fermentation-through the complete fiction of John Hawkes revealing how its counter-symbols (the Camera the Wounded Body the Architecture of Enclosure and the Child) create a coherent moral architecture across four decades of America's most challenging postmodern writer. Through meticulous close reading and structural analysis Jason Holloway maps the symbolic DNA of Hawkes's fiction demonstrating that beneath the apparent chaos lies precise literary engineering. What emerges is a comprehensive anatomy of literary architecture: how Hawkes built fiction not from plot but from the spatial and symbolic logic of desire meeting its consequences. Originally completed as a graduate thesis at Mercy University this study represents the first comprehensive analysis of motif architecture across Hawkes's complete seventeen-novel corpus. It is essential reading for scholars of postmodern American fiction students of literary symbolism and anyone who has wondered what connects The Lime Twig The Blood Oranges and Virginie across thirty years of radical experimentation.",https://jasoncholloway.com/books/hawkes-monograph/,https://jasoncholloway.com/covers/hawkes-paperback-web.png,in_stock,14.98 USD,Seventh City Press,9798295778247,new,784,Books > Paperback,yes,US::Standard:5.99 USD,0.35 lb,standard-us,1,2,5,10,adult
hawkes-hc,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes (Hardcover)","What does a single recurring image reveal about the hidden architecture of a novelist's entire body of work? Across John Hawkes's seventeen novels the word ""grape"" appears 129 times-concentrated in the mature fiction where innocence desire and architectural enclosure converge. This monograph traces the grape-its cultivation its crushing its fermentation-through the complete fiction of John Hawkes revealing how its counter-symbols (the Camera the Wounded Body the Architecture of Enclosure and the Child) create a coherent moral architecture across four decades of America's most challenging postmodern writer. Through meticulous close reading and structural analysis Jason Holloway maps the symbolic DNA of Hawkes's fiction demonstrating that beneath the apparent chaos lies precise literary engineering. What emerges is a comprehensive anatomy of literary architecture: how Hawkes built fiction not from plot but from the spatial and symbolic logic of desire meeting its consequences. Originally completed as a graduate thesis at Mercy University this study represents the first comprehensive analysis of motif architecture across Hawkes's complete seventeen-novel corpus. It is essential reading for scholars of postmodern American fiction students of literary symbolism and anyone who has wondered what connects The Lime Twig The Blood Oranges and Virginie across thirty years of radical experimentation.",https://jasoncholloway.com/books/hawkes-monograph/,https://jasoncholloway.com/covers/hawkes-hardcover-web.png,in_stock,24.99 USD,Seventh City Press,9798349308444,new,784,Books > Hardcover,yes,US::Standard:5.99 USD,0.55 lb,standard-us,1,2,5,10,adult
mx1-pb,Masters X: The Inheritance of Frequency (Paperback),His grandfather paid for a safety deposit box fifty-seven years in advance. Timed it to arrive at the exact moment Blake Masters would be ready to open it. Inside: seven notebooks. Thirty years of research linking acoustic resonance to the architecture of human thought documented by a man who saw the patterns from the cockpit of a U-2 spy plane at seventy thousand feet and spent his life proving they existed in bedrock beneath Kansas City. Blake is a graduate student who lost his security clearance his job as a guard at SubTropolis and the last person who tried to love him all because he photographed geometric carvings in a tunnel that no official map acknowledges. They match his grandfather's notebooks exactly. They predate the limestone by millennia. Then a woman appears. Sister Nadia Volkov. Orphaned in Lviv raised by Keeper nuns in a Prague convent translating thirteenth-century Latin by the age of twelve. She has a PhD in medieval history and a dissertation arguing that grimoires are cognitive technologies. She arrives with Thai food and bandages and a warning: the people who killed his father want what is inside that box. Beneath the Strahov Library in Prague the Premonstratensian monks guarded a sealed crypt for seven centuries. A thirteenth-century monk had scattered a single truth across seven cities because what he found in the frequency was too dangerous to keep in one place and too important to destroy. Blake and Nadia are about to open it. The cost of perception is everything but ordinary.,https://jasoncholloway.com/books/masters-x/the-inheritance-of-frequency/,https://jasoncholloway.com/covers/book1-paperback.png,in_stock,16.99 USD,Seventh City Press,9798256008048,new,784,Books > Paperback,yes,US::Standard:5.99 USD,0.65 lb,standard-us,1,2,5,10,adult
mx1-hc,Masters X: The Inheritance of Frequency (Hardcover),His grandfather paid for a safety deposit box fifty-seven years in advance. Timed it to arrive at the exact moment Blake Masters would be ready to open it. Inside: seven notebooks. Thirty years of research linking acoustic resonance to the architecture of human thought documented by a man who saw the patterns from the cockpit of a U-2 spy plane at seventy thousand feet and spent his life proving they existed in bedrock beneath Kansas City. Blake is a graduate student who lost his security clearance his job as a guard at SubTropolis and the last person who tried to love him all because he photographed geometric carvings in a tunnel that no official map acknowledges. They match his grandfather's notebooks exactly. They predate the limestone by millennia. Then a woman appears. Sister Nadia Volkov. Orphaned in Lviv raised by Keeper nuns in a Prague convent translating thirteenth-century Latin by the age of twelve. She has a PhD in medieval history and a dissertation arguing that grimoires are cognitive technologies. She arrives with Thai food and bandages and a warning: the people who killed his father want what is inside that box. Beneath the Strahov Library in Prague the Premonstratensian monks guarded a sealed crypt for seven centuries. A thirteenth-century monk had scattered a single truth across seven cities because what he found in the frequency was too dangerous to keep in one place and too important to destroy. Blake and Nadia are about to open it. The cost of perception is everything but ordinary.,https://jasoncholloway.com/books/masters-x/the-inheritance-of-frequency/,https://jasoncholloway.com/covers/book1-hardcover-v3.png,in_stock,29.99 USD,Seventh City Press,9798295800801,new,784,Books > Hardcover,yes,US::Standard:5.99 USD,0.85 lb,standard-us,1,2,5,10,adult
mx2-pb,Masters X: The Grimoire (Paperback),The frequency is real. Blake heard it in the Strahov crypt. It restructured his nervous system in a way that cannot be reversed. Now he sits in a stone cottage on the Icelandic coast writing the account of what happened in the seventh Moleskine with a pen that shakes when he sets it down. Bilateral tremor. 111.2 Hz. Permanent. What he is writing is both confession and instruction manual. The Premonstratensian monks did not simply guard the frequency. They prepared for it. A fifteenth-century reading list recovered from a Charles University archive reveals twenty-three texts - Christian Jewish Hermetic Islamic - required before any candidate could enter the crypt. The Ars Notoria. The Sefer Yetzirah. The Gospel of Mary. Twenty-three books to tune the mind before the frequency tuned the body. While Blake maps the preparation protocol from Iceland Nadia holds the William Masters Foundation together from Kansas City alone at 5:12 every morning. She manages seventeen meetings four grant deadlines a Senate inquiry a pharmaceutical industry's sabotage campaign and the slow irreversible transformation of a marriage into an interference pattern between two frequencies that are half a hertz apart. Andrew Chen's algorithm has identified something no one expected. The mathematical relationships the medieval masters encoded in cathedral proportions - the nave heights at Chartres the transept ratios at Reims - are not decorative. They are acoustic specifications. The cathedrals are instruments. They were always instruments. The preparation is not about the frequency. The preparation is about the organism that will receive it. Twenty-three candidates are waiting.,https://jasoncholloway.com/books/masters-x/the-grimoire/,https://jasoncholloway.com/covers/book2-paperback.png,in_stock,22.99 USD,Seventh City Press,9798256009953,new,784,Books > Paperback,yes,US::Standard:5.99 USD,0.75 lb,standard-us,1,2,5,10,adult
mx2-hc,Masters X: The Grimoire (Hardcover),The frequency is real. Blake heard it in the Strahov crypt. It restructured his nervous system in a way that cannot be reversed. Now he sits in a stone cottage on the Icelandic coast writing the account of what happened in the seventh Moleskine with a pen that shakes when he sets it down. Bilateral tremor. 111.2 Hz. Permanent. What he is writing is both confession and instruction manual. The Premonstratensian monks did not simply guard the frequency. They prepared for it. A fifteenth-century reading list recovered from a Charles University archive reveals twenty-three texts - Christian Jewish Hermetic Islamic - required before any candidate could enter the crypt. The Ars Notoria. The Sefer Yetzirah. The Gospel of Mary. Twenty-three books to tune the mind before the frequency tuned the body. While Blake maps the preparation protocol from Iceland Nadia holds the William Masters Foundation together from Kansas City alone at 5:12 every morning. She manages seventeen meetings four grant deadlines a Senate inquiry a pharmaceutical industry's sabotage campaign and the slow irreversible transformation of a marriage into an interference pattern between two frequencies that are half a hertz apart. Andrew Chen's algorithm has identified something no one expected. The mathematical relationships the medieval masters encoded in cathedral proportions - the nave heights at Chartres the transept ratios at Reims - are not decorative. They are acoustic specifications. The cathedrals are instruments. They were always instruments. The preparation is not about the frequency. The preparation is about the organism that will receive it. Twenty-three candidates are waiting.,https://jasoncholloway.com/books/masters-x/the-grimoire/,https://jasoncholloway.com/covers/book2-hardcover-v3.png,in_stock,33.99 USD,Seventh City Press,9798295812675,new,784,Books > Hardcover,yes,US::Standard:5.99 USD,0.95 lb,standard-us,1,2,5,10,adult
mx3-pb,Masters X: The Kingdom (Paperback),Blake Masters returns to Kansas City with a restructured nervous system a preparation protocol that can safely expand human consciousness and an argument he cannot answer. Father Crane has published a theological critique in *Theological Studies* that the Foundation cannot refute. If the frequency is what Jesus taught - if the kingdom of God within you is a technical description of human acoustic resonance - then the fifty-two-week preparation protocol is gatekeeping prayer. Every week a candidate spends in preparation is a week a suffering person is denied access to their own fundamental frequency. Blake knows Crane is right. The preparation IS gatekeeping. But the alternative is three seizures and two cardiac events and a 34% adverse event rate and the institutional disaster that follows when knowledge moves faster than readiness. Twenty-three candidates. Seventy-two hours. A limestone chamber beneath Kansas City where the frequency has been resonating since before the city was built. Four hundred and twelve listening sites in sixty-one countries. Eleven thousand participants. And a man sitting alone writing in the ninth Moleskine with hands that tremble at 111.2 Hz: The gate is not arbitrary. The gate is the body. The body requires time. This is not theology. This is physics. This is love. Some signals you pick up by accident. Some are aimed at you.,https://jasoncholloway.com/books/masters-x/the-kingdom/,https://jasoncholloway.com/covers/book3-paperback.png,in_stock,19.99 USD,Seventh City Press,9798256010072,new,784,Books > Paperback,yes,US::Standard:5.99 USD,0.80 lb,standard-us,1,2,5,10,adult
mx3-hc,Masters X: The Kingdom (Hardcover),Blake Masters returns to Kansas City with a restructured nervous system a preparation protocol that can safely expand human consciousness and an argument he cannot answer. Father Crane has published a theological critique in *Theological Studies* that the Foundation cannot refute. If the frequency is what Jesus taught - if the kingdom of God within you is a technical description of human acoustic resonance - then the fifty-two-week preparation protocol is gatekeeping prayer. Every week a candidate spends in preparation is a week a suffering person is denied access to their own fundamental frequency. Blake knows Crane is right. The preparation IS gatekeeping. But the alternative is three seizures and two cardiac events and a 34% adverse event rate and the institutional disaster that follows when knowledge moves faster than readiness. Twenty-three candidates. Seventy-two hours. A limestone chamber beneath Kansas City where the frequency has been resonating since before the city was built. Four hundred and twelve listening sites in sixty-one countries. Eleven thousand participants. And a man sitting alone writing in the ninth Moleskine with hands that tremble at 111.2 Hz: The gate is not arbitrary. The gate is the body. The body requires time. This is not theology. This is physics. This is love. Some signals you pick up by accident. Some are aimed at you.,https://jasoncholloway.com/books/masters-x/the-kingdom/,https://jasoncholloway.com/covers/book3-hardcover-v3.png,in_stock,32.99 USD,Seventh City Press,9798295812705,new,784,Books > Hardcover,yes,US::Standard:5.99 USD,1.05 lb,standard-us,1,2,5,10,adult
mx-omnibus-hc,Masters X: The Complete Trilogy (Hardcover),"What if the most dangerous secret in human history isn't a weapon or a prophecy but a frequency? Beneath the Strahov Library in Prague Premonstratensian monks have guarded a sealed crypt for seven centuries. A thirteenth-century brother scattered a single truth across seven European cities because what he discovered in the acoustic resonance was too dangerous to keep in one place and too important to destroy. Blake Masters is a graduate student who lost his security clearance and his job as a guard in the subterranean limestone vaults beneath Kansas City. But when he photographs impossible geometric carvings in an unmapped tunnel he triggers a chain reaction that forces him to confront a terrifying family legacy. The carvings point to a hidden acoustic signature: 111.2 Hz. It is the exact resonant frequency of ancient caves megalithic cathedrals and the human chest cavity. And once you learn how to listen your nervous system is permanently restructured. Collected here in a single omnibus edition the Masters X trilogy is a sprawling intelligent thriller that bridges acoustic science medieval cryptography and the absolute frontiers of human consciousness. VOLUME I: THE INHERITANCE OF FREQUENCY The discovery of the SubTropolis carvings leads Blake and Nadia Volkov on a frantic hunt from the limestone depths of America to the restricted archives of Europe pursued by a shadow faction desperate to keep the frequency silent. VOLUME II: THE GRIMOIRE The frequency is real and it has altered Blake in ways that cannot be reversed. As the search expands across continents to decode twenty-three esoteric texts Blake uncovers a staggering truth: the world's great cathedrals were never just buildings. They were always instruments. VOLUME III: THE KINGDOM The secret is out. Eleven thousand participants are listening. As the phenomenon goes global a radical new understanding of human capability emerges culminating in a final shattering revelation in a chamber where the frequency has resonated since before the city was built. ""There's no chaos in nature Blake. Only patterns we don't understand yet.""",https://jasoncholloway.com/books/masters-x/omnibus/,https://jasoncholloway.com/covers/omnibus-hardcover-v3.png,in_stock,49.99 USD,Seventh City Press,9798295884412,new,784,Books > Hardcover,yes,US::Standard:5.99 USD,2.75 lb,standard-us,1,2,5,10,adult
mx-omnibus-pb,Masters X: The Complete Trilogy (Paperback),"What if the most dangerous secret in human history isn't a weapon or a prophecy but a frequency? Beneath the Strahov Library in Prague Premonstratensian monks have guarded a sealed crypt for seven centuries. A thirteenth-century brother scattered a single truth across seven European cities because what he discovered in the acoustic resonance was too dangerous to keep in one place and too important to destroy. Blake Masters is a graduate student who lost his security clearance and his job as a guard in the subterranean limestone vaults beneath Kansas City. But when he photographs impossible geometric carvings in an unmapped tunnel he triggers a chain reaction that forces him to confront a terrifying family legacy. The carvings point to a hidden acoustic signature: 111.2 Hz. It is the exact resonant frequency of ancient caves megalithic cathedrals and the human chest cavity. And once you learn how to listen your nervous system is permanently restructured. Collected here in a single omnibus edition the Masters X trilogy is a sprawling intelligent thriller that bridges acoustic science medieval cryptography and the absolute frontiers of human consciousness. VOLUME I: THE INHERITANCE OF FREQUENCY The discovery of the SubTropolis carvings leads Blake and Nadia Volkov on a frantic hunt from the limestone depths of America to the restricted archives of Europe pursued by a shadow faction desperate to keep the frequency silent. VOLUME II: THE GRIMOIRE The frequency is real and it has altered Blake in ways that cannot be reversed. As the search expands across continents to decode twenty-three esoteric texts Blake uncovers a staggering truth: the world's great cathedrals were never just buildings. They were always instruments. VOLUME III: THE KINGDOM The secret is out. Eleven thousand participants are listening. As the phenomenon goes global a radical new understanding of human capability emerges culminating in a final shattering revelation in a chamber where the frequency has resonated since before the city was built. ""There's no chaos in nature Blake. Only patterns we don't understand yet.""",https://jasoncholloway.com/books/masters-x/omnibus/,https://jasoncholloway.com/covers/omnibus-hardcover-v3.png,in_stock,36.99 USD,Seventh City Press,9798256072704,new,784,Books > Paperback,yes,US::Standard:5.99 USD,2.25 lb,standard-us,1,2,5,10,adult
