book,scene_id,chapter_slug,line_start,line_end,slug_text,pov,time_marker,asserted_location,is_slug
1,s001-seven-parts-seven-locations-prague-where-the-emp,prologue,76,180,"\"Seven parts. Seven locations. Prague, where the emperor collects",Aldric,"","Prague, where the emperor collects",true
1,s002-aldric-gathered-his-cloak-checked-the-first-satchel,prologue,181,262,"Aldric gathered his cloak. Checked the first satchel. Prague. Hoisted",Blake,"","Prague",true
1,s003-feeling-he-d-had-at-subtropolis-right-before-they-d,chapter-one,263,368,"feeling he'd had at SubTropolis, right before they'd fired him. The same",Blake,"","feeling he'd had at SubTropolis, right before they'd fired him",true
1,s004-the-apartment-was-small-a-studio-in-westport-third,chapter-one,369,372,"The apartment was small. A studio in Westport, third floor walkup.",Blake,"","The apartment was small",true
1,s005-colonel-blake-himself-in-his-g4s-uniform-subtropol,chapter-one,373,457,"colonel. Blake himself in his G4S uniform, SubTropolis badge visible, a",Blake,"","Blake himself in his G4S uniform, SubTropolis badge visible, a",true
1,s006-the-carvings-shouldn-t-have-existed-subtropolis-was,chapter-one,458,500,"The carvings shouldn't have existed. SubTropolis was a limestone",Blake,"","SubTropolis was a limestone",true
1,s007-geometric-motifs-swam-behind-his-closed-eyes-the-su,chapter-one,501,584,"Geometric motifs swam behind his closed eyes. The SubTropolis",Blake,"","The SubTropolis",true
1,s008-work-on-medieval-grimoires-your-time-at-subtropolis,chapter-two,585,693,"work on medieval grimoires. Your time at SubTropolis. What happened",Blake,"","Your time at SubTropolis",true
1,s009-beneath-subtropolis-the-patterns-that-had-made-his,chapter-two,694,748,"beneath SubTropolis. The patterns that had made his vision swim and",Blake,"","beneath SubTropolis",true
1,s010-blake-followed-patricia-thornton-down-a-hallway-mark,chapter-three,749,795,"Blake followed Patricia Thornton down a hallway marked PRIVATE.",Blake,"","Blake followed Patricia Thornton down a hallway marked PRIVATE.",true
1,s011-subtropolis-amplified-focused-intentional,chapter-three,796,891,"SubTropolis, amplified. Focused. Intentional.",Blake,"","SubTropolis, amplified",true
1,s012-model-airplanes-i-hung-in-the-garage-the-patterns-i,chapter-three,892,950,"model airplanes I hung in the garage. The patterns in flowstone at Meramec Caverns.",Blake,"","The patterns in flowstone at Meramec Caverns.",true
1,s013-he-climbed-the-stairs-to-his-apartment-set-the-canv,chapter-three,951,951,"He climbed the stairs to his apartment. Set the canvas bag on the",Blake,"","He climbed the stairs to his apartment",true
1,s014-kitchen-table-the-breitling-showed-6-47-pm,chapter-three,952,967,"kitchen table. The Breitling showed 6:47 PM.",Blake,"47 PM","kitchen table",true
1,s015-the-notebooks-were-in-his-apartment-now-seven-of-th,chapter-four,968,981,"The notebooks were in his apartment now. Seven of them, locked",Blake,"","The notebooks were in his apartment now",true
1,s016-that-had-no-names-he-d-wake-at-3-47-as-always-and,chapter-four,982,1039,"that had no names. He'd wake at 3:47, as always, and sit at the kitchen",Blake,"","He'd wake at 3:47, as always, and sit at the kitchen",true
1,s017-notebooks-in-the-carvings-beneath-subtropolis-in-t,chapter-four,1040,1068,"notebooks. In the carvings beneath SubTropolis. In the flowstone at",Blake,"","In the carvings beneath SubTropolis",true
1,s018-meramec-caverns-tourist-attraction-outside-sullivan,chapter-four,1069,1135,"Meramec Caverns. Tourist attraction outside Sullivan, Missouri. But",Blake,"","Meramec Caverns",true
1,s019-october-air-hit-him-sharp-and-clean-everything-was,chapter-four,1136,1249,"October air hit him sharp and clean. Everything was different. The",Blake,"October","",true
1,s020-walked-past-him-set-the-bags-on-the-kitchen-table,chapter-five,1250,1252,"walked past him, set the bags on the kitchen table. \"Pad Thai. Tom Kha.",Blake,"","walked past him, set the bags on the kitchen table",true
1,s021-she-turned-and-looked-at-him-properly-in-the-apartm,chapter-five,1253,1265,"She turned and looked at him properly. In the apartment light,",Blake,"","In the apartment light,",true
1,s022-before-the-patterns-from-the-notebooks-from-subtro,chapter-five,1266,1287,"before. The patterns from the notebooks, from SubTropolis, they're",Nadia,"","The patterns from the notebooks, from SubTropolis, they're",true
1,s023-austrian-unopened-for-six-months-it-caught-the-kit,chapter-five,1288,1291,"Austrian, unopened for six months. It caught the kitchen light and threw",Nadia,"","It caught the kitchen light and threw",true
1,s024-nadia-s-presence-changed-the-apartment-s-resonance,chapter-five,1292,1326,"Nadia's presence changed the apartment's resonance. She occupied",Nadia,"","Nadia's presence changed the apartment's resonance",true
1,s025-way-a-priest-handles-a-relic-opened-it-on-the-kitch,chapter-five,1327,1355,"way a priest handles a relic. Opened it on the kitchen floor between",Blake,"","Opened it on the kitchen floor between",true
1,s026-picture-cave-she-said-warren-county-missouri,chapter-five,1356,1375,"\"Picture Cave,\" she said. \"Warren County, Missouri. Osage ancestral",Blake,"","\"Picture Cave,\" she said",true
1,s027-silence-two-people-sitting-on-a-kitchen-floor-with,chapter-five,1376,1432,"Silence. Two people sitting on a kitchen floor with a medieval",Blake,"","Two people sitting on a kitchen floor with a medieval",true
1,s028-laughing-on-his-kitchen-floor-the-way-she-d-said-i,chapter-five,1433,1438,"laughing on his kitchen floor. The way she'd said I wanted to seem competent",Blake,"","laughing on his kitchen floor",true
1,s029-he-got-up-went-to-the-kitchen,chapter-five,1439,1455,"He got up. Went to the kitchen.",Blake,"","Went to the kitchen.",true
1,s030-tomorrow-nadia-said-i-ll-take-you-to-genessee-s,chapter-five,1456,1461,"\"Tomorrow,\" Nadia said. \"I'll take you to Genessee Street. The",Blake,"","\"I'll take you to Genessee Street",true
1,s031-subtropolis-she-said-eventually-when-you-re-re,chapter-five,1462,1477,"\"SubTropolis,\" she said. \"Eventually. When you're ready. But first,",Blake,"","\"SubTropolis,\" she said",true
1,s032-and-freshly-in-months-maybe-years-the-3-47-am-sil,chapter-five,1478,1489,"And freshly, in months, maybe years. The 3:47 AM silence in",Blake,"may","",true
