Title,Description,Link,Image URL,Board,Alt Text
The Inheritance of Frequency — Hardcover,Hardcover collector's edition with printed case laminate beneath the dust jacket. Vol I of the Masters X Trilogy by Jason Carroll Holloway. ISBN 9798295800801. #MastersXTrilogy #Hardcover #BookDesign #LiteraryThriller,https://jasoncholloway.com/books/masters-x/the-inheritance-of-frequency/,https://jasoncholloway.com/covers/book1-hardcover-v3.png,Masters X Trilogy — Books & Editions,Masters X Vol I The Inheritance of Frequency hardcover cover
Two Covers One Book — Vol I Case Laminate,Hardcover collectors know the secret: a printed case laminate under the dust jacket. The hidden second cover of Vol I. Seventh City Press · Jason Carroll Holloway. #TwoCoversOneBook #Hardcover #MastersXTrilogy #BookDesign,https://jasoncholloway.com/books/masters-x/the-inheritance-of-frequency/#case-cover,https://jasoncholloway.com/covers/book1-case.png,Masters X Trilogy — Books & Editions,Masters X Vol I case laminate art — hidden cover beneath dust jacket
The Grimoire — Paperback | Masters X Vol II,Prague. The Strahov Monastery. A frequency key hidden in medieval notation. Vol II of the Masters X Trilogy by Jason Carroll Holloway. ISBN 9798256009953. #MastersXTrilogy #Prague #LiteraryThriller,https://jasoncholloway.com/books/masters-x/the-grimoire/,https://jasoncholloway.com/covers/book2-paperback.png,Masters X Trilogy — Books & Editions,Masters X Vol II The Grimoire paperback cover
The Grimoire — Hardcover | Masters X Vol II,Hardcover collector's edition with printed case laminate beneath the dust jacket. Vol II of the Masters X Trilogy. ISBN 9798295812675. #MastersXTrilogy #Hardcover #LiteraryThriller,https://jasoncholloway.com/books/masters-x/the-grimoire/#hardcover,https://jasoncholloway.com/covers/book2-hardcover-v3.png,Masters X Trilogy — Books & Editions,Masters X Vol II The Grimoire hardcover cover
Two Covers One Book — Vol II Case Laminate,Hardcover collectors know the secret: a printed case laminate under the dust jacket. Vol II's hidden second cover reveals the Strahov cipher. Seventh City Press. #TwoCoversOneBook #Hardcover #BookDesign,https://jasoncholloway.com/books/masters-x/the-grimoire/#case-cover,https://jasoncholloway.com/covers/book2-case.png,Masters X Trilogy — Books & Editions,Masters X Vol II The Grimoire case laminate art
The Kingdom — Paperback | Masters X Vol III,The frequency engine activated. Every thread converges. Vol III of the Masters X Trilogy by Jason Carroll Holloway. ISBN 9798256010072. #MastersXTrilogy #LiteraryThriller #KansasCity,https://jasoncholloway.com/books/masters-x/the-kingdom/,https://jasoncholloway.com/covers/book3-paperback.png,Masters X Trilogy — Books & Editions,Masters X Vol III The Kingdom paperback cover
The Kingdom — Hardcover | Masters X Vol III,Hardcover collector's edition with printed case laminate. Vol III of the Masters X Trilogy. ISBN 9798295812705. #MastersXTrilogy #Hardcover #CollectorEdition,https://jasoncholloway.com/books/masters-x/the-kingdom/#hardcover,https://jasoncholloway.com/covers/book3-hardcover-v3.png,Masters X Trilogy — Books & Editions,Masters X Vol III The Kingdom hardcover cover
Two Covers One Book — Vol III Case Laminate,Hardcover collectors know the secret: a printed case laminate under the dust jacket. The final hidden cover. Seventh City Press · Jason Carroll Holloway. #TwoCoversOneBook #Hardcover #MastersXTrilogy,https://jasoncholloway.com/books/masters-x/the-kingdom/#case-cover,https://jasoncholloway.com/covers/book3-case.png,Masters X Trilogy — Books & Editions,Masters X Vol III The Kingdom case laminate art
Masters X Omnibus — Hardcover,All three novels in one volume. 900+ pages. The definitive edition of the Masters X Trilogy with cathedral-within case laminate. ISBN 9798295884412. #MastersXTrilogy #Omnibus #CompleteSeries,https://jasoncholloway.com/books/masters-x/omnibus/,https://jasoncholloway.com/covers/omnibus-hardcover-v3.png,Masters X Trilogy — Books & Editions,Masters X Complete Trilogy Omnibus hardcover cover
Two Covers One Book — Omnibus Case Laminate,Cathedral-within figure on the case laminate — the hidden second cover of the complete trilogy omnibus. Seventh City Press · Jason Carroll Holloway. #TwoCoversOneBook #Hardcover #Omnibus #BookDesign,https://jasoncholloway.com/books/masters-x/omnibus/#case-cover,https://jasoncholloway.com/covers/omnibus-case.png,Masters X Trilogy — Books & Editions,Masters X omnibus hardcover case laminate art
