isbn,title,series,series_number,format,language,bisac_primary,bisac_secondary,bisac_tertiary,keywords_global,keywords_action,wide_distribution_note
9798256008048,"Masters X: The Inheritance of Frequency : Volume One",Masters X,1,Paperback,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Dan Brown; Elizabeth Kostova; esoteric knowledge; Foucault's Pendulum; grimoire; literary thriller; medieval manuscripts; occult mystery; Prague; Rudolf II; sacred geometry; Strahov Library; Umberto Eco; Voynich Manuscript","ADD global keywords; verify series Masters X #1; confirm wide distribution ON","Passive global reach — keywords drive librarian/retailer discovery"
9798295800801,"Masters X: The Inheritance of Frequency : Volume One",Masters X,1,Hardcover,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Dan Brown; Elizabeth Kostova; esoteric knowledge; Foucault's Pendulum; grimoire; literary thriller; medieval manuscripts; occult mystery; Prague; Rudolf II; sacred geometry; Strahov Library; Umberto Eco; Voynich Manuscript","Same keyword set as PB Vol I","Passive global reach"
9798256008819,"Masters X: The Inheritance of Frequency : Volume One",Masters X,1,Ebook,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Dan Brown; Elizabeth Kostova; esoteric knowledge; Foucault's Pendulum; grimoire; literary thriller; medieval manuscripts; occult mystery; Prague; Rudolf II; sacred geometry; Strahov Library; Umberto Eco; Voynich Manuscript","Same keyword set; EPUB wide via Ingram library channel","Library/OverDrive discovery"
9798256009953,"Masters X: The Grimoire : Volume Two",Masters X,2,Paperback,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Chartres cathedral; Codex Gigas; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; grimoire; Iceland; literary thriller; medieval manuscripts; preparation protocol; Prague; Strahov Library; Umberto Eco; Voynich Manuscript","ADD Codex Gigas + Foucault comp keywords","Passive global reach"
9798295812675,"Masters X: The Grimoire : Volume Two",Masters X,2,Hardcover,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Chartres cathedral; Codex Gigas; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; grimoire; Iceland; literary thriller; medieval manuscripts; preparation protocol; Prague; Strahov Library; Umberto Eco; Voynich Manuscript","Same as PB Vol II","Passive global reach"
9798256009625,"Masters X: The Grimoire : Volume Two",Masters X,2,Ebook,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; Chartres cathedral; Codex Gigas; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; grimoire; Iceland; literary thriller; medieval manuscripts; preparation protocol; Prague; Strahov Library; Umberto Eco; Voynich Manuscript","Same keyword set","Library/OverDrive discovery"
9798256010072,"Masters X: The Kingdom : Volume Three",Masters X,3,Paperback,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; conspiracy thriller; consciousness; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; literary thriller; listening groups; medieval manuscripts; open source; Prague; Strahov Library; theological thriller; Umberto Eco; Voynich Manuscript","De-emphasize KC-only terms in intl marketing; keep for catalog","Passive global reach"
9798295812705,"Masters X: The Kingdom : Volume Three",Masters X,3,Hardcover,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; conspiracy thriller; consciousness; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; literary thriller; listening groups; medieval manuscripts; open source; Prague; Strahov Library; theological thriller; Umberto Eco; Voynich Manuscript","Same as PB Vol III","Passive global reach"
9798256009809,"Masters X: The Kingdom : Volume Three",Masters X,3,Ebook,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; conspiracy thriller; consciousness; Dan Brown; Elizabeth Kostova; Foucault's Pendulum; literary thriller; listening groups; medieval manuscripts; open source; Prague; Strahov Library; theological thriller; Umberto Eco; Voynich Manuscript","Same keyword set","Library/OverDrive discovery"
9798256072704,"Masters X: The Complete Trilogy",Masters X,1,Paperback,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; collected edition; Dan Brown; Elizabeth Kostova; esoteric knowledge; Foucault's Pendulum; grimoire; literary thriller; medieval manuscripts; occult mystery; omnibus; Prague; Strahov Library; Umberto Eco; Voynich Manuscript","Intl readers wanting full series — push omnibus in UK/EU library orders","No Kindle omnibus — key intl print/ebook gap"
9798295884412,"Masters X: The Complete Trilogy",Masters X,1,Hardcover,ENG,FIC030000,FIC019000,FIC014000,"acoustic frequency; Ars Notoria; collected edition; Dan Brown; Elizabeth Kostova; esoteric knowledge; Foucault's Pendulum; grimoire; literary thriller; medieval manuscripts; occult mystery; omnibus; Prague; Strahov Library; Umberto Eco; Voynich Manuscript","Same as omnibus PB","Gift/edition for UK/EU thriller readers"
9798295778247,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",,,Paperback,ENG,LIT004020,LIT004080,LIT006000,"American literature; grape motif; John Hawkes; literary criticism; postmodern fiction; symbolism; The Blood Oranges","English-only academic; global via libraries not translation","Lower intl priority than Masters X"
9798349308444,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",,,Hardcover,ENG,LIT004020,LIT004080,LIT006000,"American literature; grape motif; John Hawkes; literary criticism; postmodern fiction; symbolism; The Blood Oranges","Same","Library/academic global"
9798295778926,"Innocence, Desire, and the Architecture of the Fall: The Grape and Its Counter-Symbols in the Fiction of John Hawkes",,,Ebook,ENG,LIT004020,LIT004080,LIT006000,"American literature; grape motif; John Hawkes; literary criticism; postmodern fiction; symbolism; The Blood Oranges","Verify Google Play live when approved","Academic ebook global"
