id,severity,class,entity,book,line_start,line_end,quoted_text,defect_description,conflicts_with_ids,external_ground_truth,sources,confidence,canonical_ruling,proposed_fix,fix_word_count,ripple_ids,local_reader_notices,author_decision_required
DX-001,CRITICAL,INTERNAL_CONTRADICTION,Foundation / Hotel Phillips,2,619,619,The Hotel Phillips Building office in November.,"Places Foundation institutional work at Hotel Phillips. Contradicts the fully-specified Washington Street third-floor offices (B2:3504) and Quality Hill Foundation scenes (B2:3108, B2:1773). Same-night pairing with Quality Hill Foundation empty at B2:3108 (~17 lines after B2:3091 Hotel Phillips mention in the phone-call coda).",DX-002|DX-003,"Hotel Phillips is at 106 W 12th St, Curio Collection by Hilton, east of Broadway in the downtown loop / Power & Light vicinity — outside Quality Hill (NRHP district bounded east by Broadway).","https://www.hilton.com/en/hotels/mkccuqq-hotel-phillips-kansas-city/hotel-info/ | https://en.wikipedia.org/wiki/Quality_Hill,_Kansas_City | HABS MO-518 / NRHP 78001657",CONFIRMED,"Canon = Washington Street third floor (most fully specified + load-bearing). Hotel Phillips is not the Foundation HQ. Retain Hotel Phillips only if re-cast as a separate venue (meeting/coffee/speakeasy), else relocate those two mentions to Washington Street / Quality Hill offices.",Replace 'Hotel Phillips Building office' with 'Washington Street office' (or 'Foundation office') at B2:619 and B2:3091; OR insert early establishing line that Nadia sometimes works from a borrowed Hotel Phillips suite while HQ remains Washington Street (author must choose).,4,DX-002,YES — locals know Hotel Phillips is not in Quality Hill.,YES
DX-002,CRITICAL,INTERNAL_CONTRADICTION,Foundation / Hotel Phillips,2,3091,3108,the stone cottage and the Hotel Phillips Building office ... 11 PM. Quality Hill. The Foundation empty.,"Within one scene/night, Nadia's institutional seat is named Hotel Phillips (B2:3091) then Quality Hill Foundation (B2:3108). Impossible as a single HQ.",DX-001|DX-003,Hotel Phillips ≈0.3–0.4 mi east of Quality Hill / Washington Street; different neighborhood.,https://www.hilton.com/en/hotels/mkccuqq-hotel-phillips-kansas-city/hotel-location/ | haversine matrix cartographer/kc_distance_matrix.csv,CONFIRMED,Same as DX-001: Washington Street / Quality Hill offices win; Hotel Phillips is the outlier (2 vs 7+).,See DX-001. Minimum: change B2:3091 'Hotel Phillips Building office' → 'Washington Street office'.,3,DX-001,YES,YES
DX-003,MAJOR,DEFENSIBLE_BUT_AMBIGUOUS,Quality Hill (apartment vs Foundation),2,1494,1773,not the Foundation's Washington Street address but the apartment on Quality Hill ... Foundation's mailbox. Quality Hill ... Quality Hill entrance,"Bare 'Quality Hill' names both Nadia's apartment and Foundation premises (entrance, mailbox, empty HQ at B2:3108; ~18 apartment uses in B3). Geographically both can sit in Quality Hill (Washington Street runs through the district), but the reader cannot tell which building a scene is in.",,"Quality Hill NRHP district: roughly Broadway (E), Jefferson/I-35 (W), 10th/7th (N), 14th (S). Washington Street runs N–S through the district. Apartment + Foundation offices on Washington Street are mutually consistent; naming is not.","https://en.wikipedia.org/wiki/Quality_Hill,_Kansas_City | https://npgallery.nps.gov/AssetDetail/NRIS/78001657 | HABS MO-518",CONFIRMED,No factual relocation required. Disambiguate house style: 'the Washington Street offices' / 'the Foundation' vs 'the apartment' / 'the Quality Hill kitchen'. Optional early establishing passage fixing both addresses on the mental map.,Pass replacing bare 'Quality Hill' when meaning Foundation with 'Washington Street' or 'the Foundation offices'; keep 'Quality Hill' / 'the apartment' / 'the kitchen' for residence. Zero geography change.,40,DX-001|DX-002,YES — confusion reads as error even when geography is correct.,YES
DX-004,CRITICAL,INTERNAL_CONTRADICTION,Moreau chamber / SubTropolis / West Bottoms,3,3126,3132,"the industrial memory of the West Bottoms, where, 160 feet below ground, the Moreau chamber sat in its limestone silence ... ""SubTropolis. He went back to the chamber at 8 PM. Alone.""",Same scene equates the Moreau chamber under the West Bottoms with SubTropolis nine lines later. These are ~8 miles apart and on opposite sides of the Missouri River relative to downtown.,DX-005,"SubTropolis ≈39.161°N, 94.476°W, bluffs north of the Missouri River near I-435 / Hwy 210, ~7–9 mi NE of downtown. West Bottoms = floodplain at Kaw/Missouri confluence immediately below Quality Hill bluff. Straight-line ≈8 mi.",https://en.wikipedia.org/wiki/SubTropolis | https://huntmidwest.com/expertise/subtropolis/ | ULI case PDF (100–150 ft; 7 mi NE of downtown),CONFIRMED,"Canon chamber location = SubTropolis limestone (plot load-bearing across trilogy). West Bottoms sensory frame must not locate the chamber 'where' under the Bottoms. AUTHOR must choose: (A) cut West Bottoms clause; (B) make West Bottoms atmospheric only ('ozone of the river toward the Bottoms') while chamber remains SubTropolis; (C) invent a separate Bottoms chamber (high ripple, not recommended).","Preferred cheap fix: 'the industrial memory of the West Bottoms. Somewhere across the river, 160 feet below ground, the Moreau chamber…' then keep SubTropolis line. Or delete 'where, 160 feet below ground, the Moreau chamber sat…' and let SubTropolis carry location.",12,DX-005|DX-006,YES — Bottoms vs Northland is a local identity fact.,YES
DX-005,CRITICAL,EXTERNAL_FACT_ERROR,SubTropolis under Foundation building,3,2391,2393,"Somewhere below them, 160 feet below, in the SubTropolis limestone, in the converted Moreau church basement",Andrew and Nadia are in a Foundation building hallway (downtown / Washington Street context). Text asserts SubTropolis/Moreau chamber is 160 feet directly below them. SubTropolis cannot underlie downtown Quality Hill / Washington Street.,DX-004,SubTropolis is ~7.4 mi from Quality Hill / Washington Street (straight-line). Not contiguous underground with downtown.,https://en.wikipedia.org/wiki/SubTropolis | kc_distance_matrix.csv,CONFIRMED,"Vertical 'below them' is externally impossible if they are downtown. Rewrite as distant chamber ('across town at SubTropolis, 160 feet below the Northland bluff') or move the conversation into SubTropolis itself.","Replace 'Somewhere below them, 160 feet below, in the SubTropolis limestone' with 'Across the river at SubTropolis, 160 feet below the bluff, in the limestone'.",18,DX-004|DX-006,YES,NO
DX-006,MAJOR,INTERNAL_CONTRADICTION,SubTropolis depth,1,2243,2245,"The commercial mining level, SubTropolis proper, fifty-five feet below the surface ... The shaft dropped a hundred and sixty feet","States commercial SubTropolis level at 55 ft, then shaft drops 160 ft further (~215 ft total to deep chamber). Conflicts with B3:2391 / B3:3126 '160 feet below ground' for the chamber, and with external commercial-depth citations (~100–160 ft).",DX-005|DX-004,Wikipedia: up to 160 ft beneath surface in Bethany Falls limestone. ULI: limestone shelf begins 50–100 ft; leasable space ~100–150 ft. '55 ft' can describe top-of-shelf access but is too shallow for 'SubTropolis proper' commercial level as usually cited.,https://en.wikipedia.org/wiki/SubTropolis | ULI Subtropolis case study PDF,CONFIRMED,"Adopt 160 ft as chamber depth (matches CANON.md and B3). Commercial level should read ~100–160 ft, not 55. Optional: 'the limestone shelf began fifty-five feet down; SubTropolis proper opened around a hundred and fifty'.",Change 'fifty-five feet' → 'a hundred and fifty feet' (or 'a hundred feet') for commercial level; keep shaft-to-deeper-chamber language only if a second fictional tier is intentional.,6,DX-004|DX-005,MAYBE — underground-industry locals / Hunt Midwest readers will notice.,YES
DX-007,MAJOR,DEFENSIBLE_BUT_AMBIGUOUS,basalt chamber vs SubTropolis limestone,3,2369,2391,"The basalt chamber resonance is stable at 111.2 ... Somewhere below them, 160 feet below, in the SubTropolis limestone","~22 lines apart: 'basalt chamber' and 'SubTropolis limestone'. May be Iceland basalt vs KC limestone (two chambers), but the hallway dialogue does not mark the distinction; readers may hear one chamber with contradictory lithology.",,KC SubTropolis = Bethany Falls limestone. Iceland volcanic terrain can host basalt. Two-chamber reading is geologically coherent if named clearly.,https://en.wikipedia.org/wiki/SubTropolis | CANON.md (Blake in Iceland B3),LIKELY,"Treat as two chambers. Add a four-word clarifier ('in Iceland, the basalt chamber…' / 'here, the limestone…').",Insert 'Iceland' or 'Reykjavík uplink' beside basalt; keep limestone for SubTropolis.,4,,NO for KC locals; YES for careful geology readers.,YES
DX-008,MAJOR,EXTERNAL_FACT_ERROR,Bethany Falls Limestone Company,1,1725,1726,The Bethany Falls Limestone Company found existing cave systems in the 1940s.,"Bethany Falls is a geological formation name, not a historical mining company. SubTropolis mining began mid-1940s under Midwest Precote; commercial reuse via Hunt / Great Midwest from ~1960s/1970.",,Bethany Falls limestone = formation. Site mining from 1945 by Midwest Precote; Hunt Midwest / Great Midwest later developed SubTropolis.,https://en.wikipedia.org/wiki/SubTropolis | https://huntmidwest.com/expertise/subtropolis/,CONFIRMED,"AUTHOR_MUST_RULE: deliberate fictional company (defensible) vs error. If error, rename to Midwest Precote / Hunt Midwest framing. If fiction, a single clarifying cue helps ('the outfit that called itself the Bethany Falls Limestone Company').",Option A (fiction keep): add 'so-called' or appositive. Option B (correct): 'Midwest Precote's crews found…' / 'Hunt Midwest later…',8,,YES for geology / underground-industry readers.,YES
DX-009,MAJOR,EXTERNAL_FACT_ERROR,Wyandotte / SubTropolis distance,1,1722,1723,A reporter lowered into a well in Wyandotte discovered an underground river three miles from SubTropolis.,"'Three miles from SubTropolis' understates the gap. Wyandotte County, KS centers ~8–9 mi from SubTropolis; even nearest KCK points are well over three miles.",,"SubTropolis (Clay County, MO north of river) to Wyandotte County center ≈8.7 mi straight-line; to West Bottoms/KCK edge still ≫3 mi.",kc_distance_matrix.csv | https://en.wikipedia.org/wiki/SubTropolis,CONFIRMED,Change 'three miles' → 'eight miles' or 'across the river several miles from'. Or relocate the well story to Clay County north of the river if the three-mile figure must stay.,three miles → eight miles (or 'nearly ten miles').,2,,YES,NO
DX-010,MAJOR,EXTERNAL_FACT_ERROR,2847 Genessee Street,1,1504,1506,2847 Genessee Street looked abandoned. ... MISSOURI COLD STORAGE CO. 1923.,"West Bottoms Genessee commercial addresses cluster ~1500–1800 (Livestock Exchange 1600; Hy-Vee Arena 1800). 2847 is not a plausible West Bottoms Genessee block. Real historic Kansas City Cold Storage NRHP building is at 500 E 3rd St (River Market), built 1922/28 — not Genessee 1923.",,"Documented Genessee WB addresses 1500–1800. KC Cold Storage Co. Building: 500 E 3rd St, NRHP 05000510.",https://en.wikipedia.org/wiki/Kansas_City_Cold_Storage_Company_Building | https://hy-veearena.com/ | https://www.visitkc.com/explore/neighborhoods/west-bottoms/,LIKELY,"Fictionalized address is allowed, but 28xx on Genessee will fail the drive-by test. Prefer 15xx–18xx Genessee, or a clearly invented street. Cold Storage signage should not imply the River Market NRHP building is in the Bottoms.",2847 → 1647 or 1721 Genessee Street (or similar 16–18xx). Optionally change company name to avoid colliding with real KC Cold Storage on 3rd St.,2,,YES — readers will GPS it.,YES
